           날짜,          리뷰 내용,   평점(5개 만점)
2021년 10월,"아침 일찍 와도 주차장이 여유롭지 않지만 여러가지 기구들도 많고 아이들과 놀기 너무 좋습니다. 맛있는 레스토랑 이라고 하긴 어렵지만 돈까스, 우동 등 그냥 무난한 식당들도 좋습니다. 끼어들기에 대해서 조금 더 엄격히 감독했으면 하는 바램입니다..",5
2021년 10월,"아이들이 좋아하고, 재있어요",5
2021년 10월,가족들과 즐건주말 위드코로나되면 더북적북적 해지겠지?,5
2021년 10월,오후4시에 들어가서 밤 9시 30분까지 알차게 놀았어요^^ 엄청 혼잡하긴 했지만 거의 모든 놀이기구가 운행되니까 새롭기도하고 재밌었어요~,5
2021년 10월,"유아, 어린이가 놀기에 최고의 놀이공원~",5
2021년 10월,"가을은 서울랜드.
근데 밤에는 좀 쌀쌀하네요
40년 가까이 되었는데도
몇몇은 그대로 네요
주막집에서 떡뽁이는 절대먹지말것.
내 생의 최악의 맛.",5
2021년 10월,"놀이기구를 타는 맛에 재미있고, 즐겁고, 축제나 행사, 버스킹을 보다보면 하루가 총알같이 가버린다. 줄서는 것에도 하루 중 시간이 투입된다는 게 함정.",5
2021년 10월,아이와 함께다녀왔는데 아이들을 위한 놀이시설이 있어 좋았습니다.,5
2021년 10월,넓은 면적에 각종 이벤트가 많고 코로나 시기에 적합한 놀이 공원 같아요.동문원도 미술관도같이있답니다.지하철로도 이용가능,4
2021년 10월,서울랜드 역사도 오래됐고 저는 30대인데 어렸을때 부터 갔던곳이라 추억이 많은 곳이예요. 결혼해서 아이들 데리고 오니 기분이 더 새롭더라고요.,5
2021년 10월,"좀 늦은시각에 두시이후에
놀이 시설을 이용하는데
많이 기다리지 않아 좋았어요

편의시설들도 깨끗하고
청결했습니다 맛있는것들도
많았구요ㅎ",5
2021년 10월,탑승안되는 놀이기구가 많아서 초등자녀가 실망을 많이 함,3
2021년 10월,(Google 번역 제공) 국내 최초의 놀이동산인 서울랜드 테마파크로 들어오세요. 재미있는 놀이기구를 즐기고 경품을 쟁취하기 위해 경쟁하십시오. 서울대공원을 방문하여 300종 이상의 다양한 동물을 가까이서 관찰해 보세요. 모든 연령대의 여행자에게 적합한 가족 친화적인 관광 허브에서 즐거운 시간을 보내세요.,5
2021년 10월,탈 것도 많고 사진찍을 곳도 많아 좋습니다.,5
2021년 10월,"재밌게 공연도 좋았습니다
다만 최근 코로나 때문인지 무엇때문인지는 모르지만 운영되지 않는 놀이기구가 많아 아쉬웠습니다 공포 마니아인데 귀신의 집이 닫아서 ㅠㅠ 그래도 공연만으로 본전 뽑은 기분이라 ^^
추천합니다",4
2021년 10월,기구가 오래되고 많이 낡아서 보수가 필요한 부분들이 많이 보입니다.,4
2021년 10월,"10세 이하의 아이들이 탈것이 많다.
음식이 맛이 없고 가성비가 너무 떨어진다.
장비는 노후화 됐으며 고치거나 추가개발할 생각이 없다.
화장실 노후화됐으나 관리는 잘되는 것으로 보임.

그럼에도 불구하고 서울랜드만의 즐거움이 있다.",4
2021년 10월,알바생들? 불친절해요ㅜㅜ,3
