date,p1,p2,psum,covid,winter
201901,56033,4218,60251,0,-1
201902,64605,5012,69617,0,1
201903,56054,4480,60534,0,7
201904,162039,12196,174235,0,12
201905,220213,17085,237298,0,19
201906,141809,11333,153142,0,23
201907,56832,24761,81593,0,26
201908,135690,10528,146218,0,27
201909,124578,9955,134533,0,23
201910,214843,16171,231014,0,16
201911,71462,5544,77006,0,8
201912,47270,3777,51047,0,1
202001,58732,4858,63590,41,2
202002,13328,1003,14331,10994,3
202003,18798,113,18911,242673,8
202004,51608,191,51799,315359,11
202005,89850,1016,90866,331239,18
202006,37355,513,37868,364450,24
202007,58113,258,58371,421928,24
202008,34574,160,34734,499594,27
202009,50262,246,50508,669433,21
202010,171286,1760,173046,777653,14
202011,46169,954,47123,879850,8
202012,7616,182,7798,1435809,0
202101,21914,87,22001,2203602,-2
202102,95911,755,96666,2352288,3
202103,63903,324,64227,2989216,9
202104,100110,1169,101279,3376018,14
202105,138826,1366,140192,4078735,17
202106,93213,1386,94599,4467930,23
